Subject,Start Date,Start Time,End Date,End Time,All day Event,Description
INGLES V  Aula: R110    Grupo: 18   ,25/02/2026,2:00:00 p.m.,25/02/2026,4:00:00 p.m.,FALSE,
TRANSMISION DE DATOS  Aula: RA305    Grupo: 1   ,25/02/2026,10:00:00 a.m.,25/02/2026,12:00:00 p.m.,FALSE,
ADMINISTRACION  Aula: P214    Grupo: 3   ,25/02/2026,12:00:00 p.m.,25/02/2026,2:00:00 p.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,26/02/2026,2:00:00 p.m.,26/02/2026,4:00:00 p.m.,FALSE,
TRANSMISION DE DATOS  Aula: RA302    Grupo: 1   ,27/02/2026,7:00:00 a.m.,27/02/2026,10:00:00 a.m.,FALSE,
ELECTIVA III  Aula: L302    Grupo: 1   ,27/02/2026,4:00:00 p.m.,27/02/2026,6:00:00 p.m.,FALSE,
ADMINISTRACION  Aula: P302    Grupo: 3   ,27/02/2026,12:00:00 p.m.,27/02/2026,2:00:00 p.m.,FALSE,
LENGUAJES FORMALES  Aula: L309    Grupo: 2   ,27/02/2026,10:00:00 a.m.,27/02/2026,12:00:00 p.m.,FALSE,
ELECTIVA III  Aula: L302    Grupo: 1   ,02/03/2026,4:00:00 p.m.,02/03/2026,6:00:00 p.m.,FALSE,
INGLES V  Aula: R110    Grupo: 18   ,02/03/2026,2:00:00 p.m.,02/03/2026,4:00:00 p.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,02/03/2026,8:00:00 a.m.,02/03/2026,10:00:00 a.m.,FALSE,
ELECTIVA IV  Aula: P105    Grupo: 1   ,03/03/2026,4:00:00 p.m.,03/03/2026,6:00:00 p.m.,FALSE,
LENGUAJES FORMALES  Aula: L309    Grupo: 2   ,03/03/2026,7:00:00 a.m.,03/03/2026,10:00:00 a.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,03/03/2026,2:00:00 p.m.,03/03/2026,4:00:00 p.m.,FALSE,
ELECTIVA IV  Aula: P105    Grupo: 1   ,04/03/2026,4:00:00 p.m.,04/03/2026,6:00:00 p.m.,FALSE,
INGLES V  Aula: R110    Grupo: 18   ,04/03/2026,2:00:00 p.m.,04/03/2026,4:00:00 p.m.,FALSE,
TRANSMISION DE DATOS  Aula: RA305    Grupo: 1   ,04/03/2026,10:00:00 a.m.,04/03/2026,12:00:00 p.m.,FALSE,
ADMINISTRACION  Aula: P214    Grupo: 3   ,04/03/2026,12:00:00 p.m.,04/03/2026,2:00:00 p.m.,FALSE,
BASES DE DATOS II  Aula: P106    Grupo: 2   ,05/03/2026,2:00:00 p.m.,05/03/2026,4:00:00 p.m.,FALSE,
TRANSMISION DE DATOS  Aula: RA302    Grupo: 1   ,06/03/2026,7:00:00 a.m.,06/03/2026,10:00:00 a.m.,FALSE,
ELECTIVA III  Aula: L302    Grupo: 1   ,06/03/2026,4:00:00 p.m.,06/03/2026,6:00:00 p.m.,FALSE,
ADMINISTRACION  Aula: P302    Grupo: 3   ,06/03/2026,12:00:00 p.m.,06/03/2026,2:00:00 p.m.,FALSE,
LENGUAJES FORMALES  Aula: L309    Grupo: 2   ,06/03/2026,10:00:00 a.m.,06/03/2026,12:00:00 p.m.,FALSE,
